datetime,voltage,battery_temp,battery_soc
2023-04-22 15:00:17.798731,8173.333333333334,-3.0,85.29,
2023-04-22 15:01:17.791745,8173.333333333334,-3.0,85.29,
2023-04-22 15:02:17.785957,8173.333333333334,-3.0,85.29,
2023-04-22 15:03:17.833166,8173.333333333334,-3.0,85.29,
2023-04-22 15:04:17.773605,8173.333333333334,-3.0,85.29,
2023-04-22 15:05:17.783554,8360.0,-2.0,85.29,
2023-04-22 15:30:18.096685,8133.333333333333,1.0,91.17,
2023-04-22 15:32:18.207360,8133.333333333333,1.0,91.17,
2023-04-22 15:36:19.145250,8120.000000000001,0.0,91.17,
2023-04-22 15:39:20.698649,8120.000000000001,-1.0,85.29,
2023-04-22 16:25:21.238398,8346.666666666668,-5.0,85.29,
2023-04-22 16:27:21.261590,8160.0,-4.0,85.29,
2023-04-22 16:29:21.216916,8146.666666666666,-4.0,85.29,
2023-04-22 16:30:21.251629,8160.0,-4.0,85.29,
2023-04-22 16:31:21.241295,8160.0,-4.0,85.29,
2023-04-22 16:32:21.233049,8146.666666666666,-3.0,85.29,
2023-04-22 16:33:21.234431,8160.0,-3.0,85.29,
2023-04-22 16:35:21.240663,8360.0,-3.0,85.29,
2023-04-22 16:36:21.352664,8346.666666666668,-2.0,85.29,
2023-04-22 16:37:13.783668,8360.0,-2.0,85.29,
2023-04-22 16:38:13.812304,8173.333333333334,-2.0,85.29,
2023-04-22 16:39:13.792452,8160.0,-1.0,85.29,
2023-04-22 16:43:13.860753,8360.0,0.0,91.17,
2023-04-22 17:08:14.087681,8120.000000000001,1.0,91.17,
2023-04-22 17:09:14.061106,8120.000000000001,0.0,91.17,
2023-04-22 18:05:14.399048,8146.666666666666,-4.0,85.29,
2023-04-22 18:06:14.402019,8160.0,-4.0,85.29,
2023-04-22 18:07:14.402390,8160.0,-4.0,85.29,
2023-04-22 18:08:14.453847,8146.666666666666,-3.0,85.29,
2023-04-22 18:09:14.415208,8160.0,-3.0,85.29,
2023-04-22 18:10:14.485770,8173.333333333334,-3.0,85.29,
2023-04-22 18:11:14.400268,8173.333333333334,-2.0,85.29,
2023-04-22 18:12:14.459504,8173.333333333334,-2.0,85.29,
2023-04-22 18:13:14.404442,8173.333333333334,-2.0,85.29,
2023-04-22 18:14:14.475748,8160.0,-2.0,85.29,
2023-04-22 18:15:14.507132,8173.333333333334,-2.0,85.29,
2023-04-22 18:17:14.514388,8173.333333333334,-2.0,85.29,
2023-04-22 19:36:14.704632,8146.666666666666,-6.0,85.29,
2023-04-22 19:37:14.684897,8160.0,-4.0,85.29,
2023-04-22 19:39:14.709571,8160.0,-4.0,85.29,
2023-04-22 19:40:14.692761,8160.0,-4.0,85.29,
2023-04-22 19:43:14.714224,8160.0,-3.0,85.29,
2023-04-22 20:03:14.772031,8160.0,2.0,91.17,
2023-04-22 20:04:14.831111,8160.0,2.0,91.17,
2023-04-22 20:06:14.785395,8160.0,2.0,91.17,
2023-04-22 20:07:14.757356,8133.333333333333,2.0,91.17,
2023-04-22 20:08:14.802840,8133.333333333333,2.0,91.17,
2023-04-22 20:09:14.768694,8133.333333333333,2.0,91.17,
2023-04-22 20:10:14.814099,8133.333333333333,2.0,91.17,
2023-04-22 20:11:14.780133,8133.333333333333,2.0,91.17,
2023-04-22 20:12:14.766596,8120.000000000001,2.0,91.17,
2023-04-22 20:25:14.905090,8106.666666666665,-1.0,85.29,
2023-04-22 20:26:14.839962,8106.666666666665,-2.0,85.29,
2023-04-22 20:27:14.845428,8106.666666666665,-2.0,85.29,
2023-04-22 20:28:14.800228,8106.666666666665,-3.0,85.29,
2023-04-22 20:29:14.836210,8106.666666666665,-3.0,85.29,
2023-04-22 20:30:14.801132,8106.666666666665,-4.0,85.29,
2023-04-22 21:08:15.872448,8146.666666666666,-6.0,85.29,
2023-04-22 21:09:15.979568,8146.666666666666,-6.0,85.29,
2023-04-22 21:10:15.942810,8160.0,-6.0,85.29,
2023-04-22 21:11:15.952592,8146.666666666666,-6.0,85.29,
2023-04-22 21:12:16.096758,8160.0,-5.0,85.29,
2023-04-22 21:14:16.247754,8160.0,-4.0,85.29,
2023-04-22 21:35:16.765451,8173.333333333334,1.0,91.17,
2023-04-22 21:36:16.791878,8146.666666666666,1.0,91.17,
2023-04-22 21:37:16.765532,8160.0,1.0,91.17,
2023-04-22 21:38:16.822562,8173.333333333334,1.0,91.17,
2023-04-22 21:39:16.905779,8160.0,2.0,91.17,
2023-04-22 21:40:16.972262,8160.0,2.0,91.17,
2023-04-22 21:41:16.902271,8133.333333333333,3.0,91.17,
2023-04-22 21:42:17.011244,8133.333333333333,3.0,91.17,
2023-04-22 21:43:17.049348,8133.333333333333,3.0,91.17,
2023-04-22 21:44:16.956846,8133.333333333333,3.0,91.17,
2023-04-22 21:45:17.262391,8133.333333333333,3.0,91.17,
2023-04-22 21:46:17.167199,8133.333333333333,3.0,91.17,
2023-04-22 21:47:17.208943,8133.333333333333,2.0,91.17,
2023-04-22 21:48:17.196180,8133.333333333333,2.0,91.17,
2023-04-22 22:33:17.655773,8146.666666666666,-7.0,85.29,
2023-04-22 23:11:18.059949,8160.0,2.0,91.17,
2023-04-22 23:12:18.034554,8160.0,2.0,91.17,
2023-04-22 23:13:18.068661,8160.0,2.0,91.17,
2023-04-22 23:14:18.060442,8160.0,2.0,91.17,
2023-04-22 23:15:18.363624,8160.0,2.0,91.17,
2023-04-22 23:16:18.300946,8133.333333333333,3.0,91.17,
2023-04-22 23:17:18.334401,8133.333333333333,3.0,91.17,
2023-04-22 23:18:18.530695,8133.333333333333,2.0,91.17,
2023-04-22 23:19:18.304804,8133.333333333333,2.0,91.17,
2023-04-22 23:20:18.288878,8133.333333333333,2.0,91.17,
2023-04-22 23:21:18.273358,8133.333333333333,2.0,91.17,
2023-04-22 23:22:18.225625,8133.333333333333,2.0,91.17,
2023-04-22 23:23:18.290081,8120.000000000001,2.0,91.17,
2023-04-22 23:24:18.254380,8120.000000000001,2.0,91.17,
2023-04-22 23:25:18.259560,8133.333333333333,1.0,91.17,
2023-04-22 23:26:18.307992,8133.333333333333,1.0,91.17,
2023-04-22 23:27:18.248124,8120.000000000001,1.0,91.17,
2023-04-23 00:03:07.937406,8133.333333333333,-8.0,85.29,
2023-04-23 00:04:07.870235,8146.666666666666,-8.0,85.29,
2023-04-23 00:05:07.930865,8146.666666666666,-7.0,85.29,
2023-04-23 00:06:07.892466,8146.666666666666,-7.0,85.29,
2023-04-23 00:07:07.914046,8133.333333333333,-7.0,85.29,
2023-04-23 00:08:07.896996,8146.666666666666,-7.0,85.29,
2023-04-23 00:09:07.907952,8146.666666666666,-7.0,85.29,
2023-04-23 00:10:07.879832,8146.666666666666,-7.0,85.29,
2023-04-23 00:11:07.908149,8146.666666666666,-7.0,85.29,
2023-04-23 00:12:07.947589,8146.666666666666,-7.0,85.29,
2023-04-23 00:24:07.981518,8160.0,-4.0,85.29,
2023-04-23 00:25:07.920469,8173.333333333334,-4.0,85.29,
2023-04-23 00:26:07.977513,8160.0,-4.0,85.29,
2023-04-23 00:27:07.924066,8173.333333333334,-4.0,85.29,
2023-04-23 00:28:07.943727,8160.0,-4.0,85.29,
2023-04-23 00:29:08.244501,8173.333333333334,-3.0,85.29,
2023-04-23 00:46:14.882067,8173.333333333334,2.0,91.17,
2023-04-23 00:47:15.154512,8160.0,2.0,91.17,
2023-04-23 00:49:14.751528,8160.0,3.0,91.17,
2023-04-23 00:50:14.702687,8146.666666666666,3.0,91.17,
2023-04-23 00:53:14.657935,8133.333333333333,3.0,91.17,
2023-04-23 00:54:14.641018,8133.333333333333,2.0,91.17,
2023-04-23 00:55:14.677756,8133.333333333333,2.0,91.17,
2023-04-23 00:56:14.694848,8133.333333333333,2.0,91.17,
2023-04-23 00:57:14.648539,8133.333333333333,2.0,91.17,
2023-04-23 00:58:14.683829,8133.333333333333,2.0,91.17,
2023-04-23 00:59:14.656902,8120.000000000001,2.0,91.17,
2023-04-23 01:08:14.719351,8120.000000000001,-1.0,85.29,
2023-04-23 01:09:14.693290,8106.666666666665,-1.0,85.29,
2023-04-23 01:10:14.690195,8106.666666666665,-1.0,85.29,
2023-04-23 01:11:14.681292,8106.666666666665,-1.0,85.29,
2023-04-23 01:12:14.737095,8106.666666666665,-2.0,85.29,
2023-04-23 01:13:14.708398,8106.666666666665,-2.0,85.29,
2023-04-23 01:14:14.709167,8106.666666666665,-2.0,85.29,
2023-04-23 01:39:14.793678,8146.666666666666,-7.0,85.29,
2023-04-23 01:41:14.881460,8133.333333333333,-7.0,85.29,
2023-04-23 01:42:14.826832,8146.666666666666,-7.0,85.29,
2023-04-23 01:43:14.827551,8133.333333333333,-7.0,85.29,
2023-04-23 01:44:14.829479,8146.666666666666,-7.0,85.29,
2023-04-23 01:45:14.960282,8146.666666666666,-7.0,85.29,
2023-04-23 01:54:14.900441,8146.666666666666,-5.0,85.29,
2023-04-23 01:55:14.862650,8146.666666666666,-4.0,85.29,
2023-04-23 01:58:14.919332,8160.0,-4.0,85.29,
2023-04-23 01:59:14.918007,8146.666666666666,-4.0,85.29,
2023-04-23 02:00:14.896459,8173.333333333334,-3.0,85.29,
2023-04-23 02:01:14.859305,8173.333333333334,-1.0,85.29,
2023-04-23 02:02:14.895787,8160.0,-2.0,85.29,
2023-04-23 02:03:14.871354,8160.0,-3.0,85.29,
2023-04-23 02:25:15.067774,8133.333333333333,2.0,91.17,
2023-04-23 02:26:14.923650,8133.333333333333,2.0,91.17,
2023-04-23 02:27:14.974288,8133.333333333333,2.0,91.17,
2023-04-23 02:32:14.945150,8133.333333333333,2.0,91.17,
2023-04-23 02:33:14.950846,8120.000000000001,2.0,91.17,
2023-04-23 02:35:14.974236,8120.000000000001,1.0,91.17,
2023-04-23 02:37:14.980039,8120.000000000001,0.0,91.17,
